fy,abbr,state,County,County 2,"County, State",Local Board,type,count,avgWage,MedianWageByCounty
FY 2022,NC,North Carolina,Moore County,Moore,"Moore, NC",Mid-Carolina Workforce Development Board,Active Apprentices,19,24.42105263,21
FY 2022,NC,North Carolina,Moore County,Moore,"Moore, NC",Mid-Carolina Workforce Development Board,New Apprentices,18,25.11111111,21
FY 2022,NC,North Carolina,Moore County,Moore,"Moore, NC",Mid-Carolina Workforce Development Board,Completer Apprentices,70,42,42
FY 2025,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,Active Apprentices,40,20.34315789,25
FY 2025,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,New Apprentices,23,23.56521739,25
FY 2025,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,Completer Apprentices,2,29.46,29.46
FY 2024,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,Active Apprentices,38,19.69971429,19.46
FY 2024,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,New Apprentices,15,15.88666667,14
FY 2024,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,Completer Apprentices,1,33,33
FY 2023,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,Active Apprentices,49,18.26934783,17.47
FY 2023,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,New Apprentices,11,20.95090909,19.46
FY 2023,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,Completer Apprentices,64,29.86796875,31.54
FY 2022,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,Active Apprentices,110,20.60364486,20.24
FY 2022,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,New Apprentices,6,26.692,27
FY 2022,NC,North Carolina,Nash County,Nash,"Nash, NC",Turning Point Workforce Development Board,Completer Apprentices,3,32.38333333,32.65
FY 2025,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,Active Apprentices,281,11.4900722,11.06
FY 2025,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,New Apprentices,9,13.74333333,12.01
FY 2025,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,Completer Apprentices,20,16.6685,16.59
FY 2024,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,Active Apprentices,298,11.44840136,11.06
FY 2024,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,New Apprentices,106,11.89650943,11.06
FY 2024,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,Completer Apprentices,30,16.817,16.59
FY 2023,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,Active Apprentices,273,11.21360595,10
FY 2023,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,New Apprentices,112,11.53357143,10
FY 2023,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,Completer Apprentices,19,18.90578947,16.59
FY 2022,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,Active Apprentices,197,11.40455959,11.06
FY 2022,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,New Apprentices,77,11.37623377,10
FY 2022,NC,North Carolina,New Hanover County,New Hanover,"New Hanover, NC",Cape Fear Workforce Development Board,Completer Apprentices,13,21.00846154,17.68
FY 2025,NC,North Carolina,Northampton County,Northampton,"Northampton, NC",Turning Point Workforce Development Board,Active Apprentices,1,8.6,8.6
FY 2024,NC,North Carolina,Northampton County,Northampton,"Northampton, NC",Turning Point Workforce Development Board,Active Apprentices,1,8.6,8.6
FY 2023,NC,North Carolina,Northampton County,Northampton,"Northampton, NC",Turning Point Workforce Development Board,Active Apprentices,1,8.6,8.6
FY 2022,NC,North Carolina,Northampton County,Northampton,"Northampton, NC",Turning Point Workforce Development Board,Active Apprentices,1,8.6,8.6
FY 2025,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,Active Apprentices,20,10,10
FY 2025,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,New Apprentices,6,10,10
FY 2024,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,Active Apprentices,16,10,10
FY 2024,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,New Apprentices,16,10,10
FY 2023,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,Active Apprentices,14,13.06071429,10
FY 2023,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,New Apprentices,3,10,10
FY 2023,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,Completer Apprentices,1,20,20
FY 2022,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,Active Apprentices,17,12.52058824,10
FY 2022,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,New Apprentices,8,9.625,10
FY 2022,NC,North Carolina,Onslow County,Onslow,"Onslow, NC",Eastern Carolina Workforce Development Board,Completer Apprentices,3,14.66666667,12
FY 2025,NC,North Carolina,Orange County,Orange,"Orange, NC",Capital Area Workforce Development Board,Active Apprentices,120,18.3625,15.64
FY 2025,NC,North Carolina,Orange County,Orange,"Orange, NC",Capital Area Workforce Development Board,New Apprentices,57,19.39561404,17.25
FY 2025,NC,North Carolina,Orange County,Orange,"Orange, NC",Capital Area Workforce Development Board,Completer Apprentices,1,14.12,14.12
FY 2024,NC,North Carolina,Orange County,Orange,"Orange, NC",Capital Area Workforce Development Board,Active Apprentices,71,16.89366197,15
FY 2024,NC,North Carolina,Orange County,Orange,"Orange, NC",Capital Area Workforce Development Board,New Apprentices,63,17.05285714,15
FY 2023,NC,North Carolina,Orange County,Orange,"Orange, NC",Capital Area Workforce Development Board,Active Apprentices,9,15.56888889,15.64
FY 2023,NC,North Carolina,Orange County,Orange,"Orange, NC",Capital Area Workforce Development Board,Completer Apprentices,1,18.5,18.5
FY 2022,NC,North Carolina,Orange County,Orange,"Orange, NC",Capital Area Workforce Development Board,Active Apprentices,13,16.12461538,15.64
FY 2023,NC,North Carolina,Pamlico County,Pamlico,"Pamlico, NC",Eastern Carolina Workforce Development Board,Active Apprentices,1,10.6,10.6
FY 2022,NC,North Carolina,Pamlico County,Pamlico,"Pamlico, NC",Eastern Carolina Workforce Development Board,Active Apprentices,1,10.6,10.6
FY 2025,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,Active Apprentices,9,17.46666667,16
FY 2025,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,New Apprentices,1,18,18
FY 2025,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,Completer Apprentices,8,19.6725,16.73
FY 2024,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,Active Apprentices,18,16.32444444,15.33
FY 2024,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,New Apprentices,11,18.81818182,20
FY 2024,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,Completer Apprentices,2,31.365,31.365
FY 2023,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,Active Apprentices,56,18.77428571,16.75
FY 2023,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,New Apprentices,45,19.62666667,18.5
FY 2023,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,Completer Apprentices,2,46,46
FY 2022,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,Active Apprentices,19,14.74947368,12
FY 2022,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,New Apprentices,3,16.01333333,14
FY 2022,NC,North Carolina,Pasquotank County,Pasquotank,"Pasquotank, NC",Northeastern Workforce Development Board,Completer Apprentices,4,28.0575,28.855
FY 2025,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,Active Apprentices,103,12.69805825,12
FY 2025,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,New Apprentices,17,12,12
FY 2025,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,Completer Apprentices,12,30.0225,30.72
FY 2024,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,Active Apprentices,117,13.23589744,12
FY 2024,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,New Apprentices,76,11.85526316,12
FY 2024,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,Completer Apprentices,8,23.5,24.4
FY 2023,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,Active Apprentices,76,14.67078947,14.82
FY 2023,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,New Apprentices,19,13.92052632,14
FY 2023,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,Completer Apprentices,7,23.66714286,22
FY 2022,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,Active Apprentices,70,15.04071429,17.24
FY 2022,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,New Apprentices,14,13.63214286,12
FY 2022,NC,North Carolina,Pitt County,Pitt,"Pitt, NC",Rivers East Workforce Development Board,Completer Apprentices,2,20,20
FY 2025,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,140,11.575,11
FY 2025,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,21,16,16
FY 2025,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,12,21.515,22
FY 2024,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,138,11.16304348,10
FY 2024,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,34,14.73529412,14
FY 2024,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,7,22.72857143,23.15
FY 2023,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,120,10.36666667,9
FY 2023,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,26,13.07692308,12
FY 2023,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,10,20.455,21
FY 2022,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,110,9.754545455,9
FY 2022,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,28,12,12
FY 2022,NC,North Carolina,Randolph County,Randolph,"Randolph, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,10,21.565,19.66
FY 2025,NC,North Carolina,Richmond County,Richmond,"Richmond, NC",Lumber River Workforce Development Board,Active Apprentices,4,11,11
FY 2024,NC,North Carolina,Richmond County,Richmond,"Richmond, NC",Lumber River Workforce Development Board,Active Apprentices,5,11.4,11
FY 2024,NC,North Carolina,Richmond County,Richmond,"Richmond, NC",Lumber River Workforce Development Board,New Apprentices,1,12,12
FY 2024,NC,North Carolina,Richmond County,Richmond,"Richmond, NC",Lumber River Workforce Development Board,Completer Apprentices,1,16,16
FY 2023,NC,North Carolina,Richmond County,Richmond,"Richmond, NC",Lumber River Workforce Development Board,Active Apprentices,7,11,11
FY 2023,NC,North Carolina,Richmond County,Richmond,"Richmond, NC",Lumber River Workforce Development Board,New Apprentices,3,11.07,11.07
FY 2022,NC,North Carolina,Richmond County,Richmond,"Richmond, NC",Lumber River Workforce Development Board,Active Apprentices,5,11.4,11
FY 2022,NC,North Carolina,Richmond County,Richmond,"Richmond, NC",Lumber River Workforce Development Board,New Apprentices,3,11.66666667,12
FY 2025,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,Active Apprentices,33,15.09424242,10.5
FY 2025,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,New Apprentices,2,10.25,10.25
FY 2025,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,Completer Apprentices,2,18.5,18.5
FY 2024,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,Active Apprentices,47,14.17404255,10.5
FY 2024,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,New Apprentices,44,12.18227273,10.5
FY 2024,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,Completer Apprentices,6,17.685,15
FY 2023,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,Active Apprentices,14,19.55071429,19.275
FY 2023,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,New Apprentices,11,16.26181818,15
FY 2023,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,Completer Apprentices,2,32.4,32.4
FY 2022,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,Active Apprentices,15,20.17333333,22.55
FY 2022,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,New Apprentices,8,19.43375,18
FY 2022,NC,North Carolina,Robeson County,Robeson,"Robeson, NC",Lumber River Workforce Development Board,Completer Apprentices,1,32.11,32.11
FY 2025,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,13,11.34615385,12.5
FY 2025,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,5,12,12.5
FY 2025,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,1,15.12,15.12
FY 2024,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,11,11.59090909,10
FY 2024,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,4,13.75,13.75
FY 2024,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,3,15.12,15.12
FY 2023,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,11,12.76363636,10
FY 2023,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,2,21.45,21.45
FY 2023,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,1,16,16
FY 2022,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,10,10.75,10
FY 2022,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,7,11.42857143,10
FY 2022,NC,North Carolina,Rockingham County,Rockingham,"Rockingham, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,3,15.33333333,16
FY 2025,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,Active Apprentices,22,20.63954545,25.21
FY 2025,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,New Apprentices,9,18.59777778,11.09
FY 2025,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,Completer Apprentices,5,34.384,46.75
FY 2024,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,Active Apprentices,26,18.885,20.62
FY 2024,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,New Apprentices,19,19.08526316,17.25
FY 2023,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,Active Apprentices,14,16.015,14.5
FY 2023,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,New Apprentices,7,12.71428571,12.5
FY 2023,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,Completer Apprentices,6,23.23,22.805
FY 2022,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,Active Apprentices,18,15.53722222,13
FY 2022,NC,North Carolina,Rowan County,Rowan,"Rowan, NC",Centralina Workforce Development Board,New Apprentices,11,18.26818182,15.5
FY 2025,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,Active Apprentices,62,16.62483871,16
FY 2025,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,New Apprentices,7,22.14285714,20
FY 2025,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,Completer Apprentices,3,22.41666667,24
FY 2024,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,Active Apprentices,62,15.94741935,16
FY 2024,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,New Apprentices,4,15.805,16
FY 2024,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,Completer Apprentices,13,33.47307692,30
FY 2023,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,Active Apprentices,84,15.58952381,15
FY 2023,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,New Apprentices,22,16.21181818,16
FY 2023,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,Completer Apprentices,10,33.858,33.745
FY 2022,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,Active Apprentices,87,14.90873563,14
FY 2022,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,New Apprentices,48,16.41375,15.5
FY 2022,NC,North Carolina,Rutherford County,Rutherford,"Rutherford, NC",Foothills Workforce Development Board,Completer Apprentices,5,27.646,24
FY 2025,NC,North Carolina,Sampson County,Sampson,"Sampson, NC",Mid-Carolina Workforce Development Board,Active Apprentices,2,15.095,15.095
FY 2024,NC,North Carolina,Sampson County,Sampson,"Sampson, NC",Mid-Carolina Workforce Development Board,Active Apprentices,3,14.73,14
FY 2024,NC,North Carolina,Sampson County,Sampson,"Sampson, NC",Mid-Carolina Workforce Development Board,New Apprentices,4,13.75,14
FY 2024,NC,North Carolina,Sampson County,Sampson,"Sampson, NC",Mid-Carolina Workforce Development Board,Completer Apprentices,1,12,12
FY 2023,NC,North Carolina,Sampson County,Sampson,"Sampson, NC",Mid-Carolina Workforce Development Board,Active Apprentices,2,14.095,14.095
FY 2023,NC,North Carolina,Sampson County,Sampson,"Sampson, NC",Mid-Carolina Workforce Development Board,New Apprentices,1,11,11
FY 2022,NC,North Carolina,Sampson County,Sampson,"Sampson, NC",Mid-Carolina Workforce Development Board,Active Apprentices,5,14.342,13.63
FY 2022,NC,North Carolina,Sampson County,Sampson,"Sampson, NC",Mid-Carolina Workforce Development Board,New Apprentices,1,13.63,13.63
FY 2025,NC,North Carolina,Scotland County,Scotland,"Scotland, NC",Lumber River Workforce Development Board,Active Apprentices,6,14.91666667,15.5
FY 2024,NC,North Carolina,Scotland County,Scotland,"Scotland, NC",Lumber River Workforce Development Board,Active Apprentices,6,14.91666667,15.5
FY 2024,NC,North Carolina,Scotland County,Scotland,"Scotland, NC",Lumber River Workforce Development Board,New Apprentices,4,15.5,15.5
FY 2023,NC,North Carolina,Scotland County,Scotland,"Scotland, NC",Lumber River Workforce Development Board,Active Apprentices,2,13.75,13.75
FY 2023,NC,North Carolina,Scotland County,Scotland,"Scotland, NC",Lumber River Workforce Development Board,New Apprentices,1,17,17
FY 2022,NC,North Carolina,Scotland County,Scotland,"Scotland, NC",Lumber River Workforce Development Board,Active Apprentices,1,10.5,10.5
FY 2022,NC,North Carolina,Scotland County,Scotland,"Scotland, NC",Lumber River Workforce Development Board,New Apprentices,1,10.5,10.5
FY 2025,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,Active Apprentices,73,13.06613636,14.425
FY 2025,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,New Apprentices,20,14.80578947,14.47
FY 2025,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,Completer Apprentices,12,17.67,20.22
FY 2024,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,Active Apprentices,80,12.22538462,12
FY 2024,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,New Apprentices,36,13.14666667,13.25
FY 2024,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,Completer Apprentices,5,18.944,13
FY 2023,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,Active Apprentices,58,11.952,12.5
FY 2023,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,New Apprentices,29,12.0537931,12.5
FY 2023,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,Completer Apprentices,3,16.16666667,16.5
FY 2022,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,Active Apprentices,32,9.875,9
FY 2022,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,New Apprentices,2,9,9
FY 2022,NC,North Carolina,Stanly County,Stanly,"Stanly, NC",Centralina Workforce Development Board,Completer Apprentices,2,17.5,17.5
FY 2025,NC,North Carolina,Stokes County,Stokes,"Stokes, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,5,10.2,10
FY 2024,NC,North Carolina,Stokes County,Stokes,"Stokes, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,5,10.2,10
FY 2023,NC,North Carolina,Stokes County,Stokes,"Stokes, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,5,10.2,10
FY 2023,NC,North Carolina,Stokes County,Stokes,"Stokes, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,2,9,9
FY 2022,NC,North Carolina,Stokes County,Stokes,"Stokes, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,3,11,12
FY 2025,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,870,14.63785211,16
FY 2025,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,364,15.91893064,16
FY 2025,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,59,38.30576271,41.49
FY 2024,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,936,13.73520299,12.6
FY 2024,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,672,14.2891369,15
FY 2024,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,58,42.02258621,44.38
FY 2023,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,659,12.60128983,12.6
FY 2023,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,481,12.6529106,12.6
FY 2023,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,39,41.6274359,43.37
FY 2022,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,Active Apprentices,481,12.55821206,12.6
FY 2022,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,New Apprentices,299,12.54448161,12.6
FY 2022,NC,North Carolina,Surry County,Surry,"Surry, NC",Piedmont Triad Regional Workforce Development Board,Completer Apprentices,38,42.98184211,43.625
FY 2025,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,Active Apprentices,186,13.54789189,14
FY 2025,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,New Apprentices,98,13.04632653,13.22
FY 2025,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,Completer Apprentices,16,19.328125,18
FY 2024,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,Active Apprentices,194,13.55145078,13
FY 2024,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,New Apprentices,170,13.67023529,13
FY 2024,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,Completer Apprentices,24,25.99166667,26
FY 2023,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,Active Apprentices,107,12.56160377,13
FY 2023,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,New Apprentices,50,13.0228,13
FY 2023,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,Completer Apprentices,43,24.42046512,26
FY 2022,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,Active Apprentices,139,11.94717391,13
FY 2022,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,New Apprentices,59,14.14813559,13.22
FY 2022,NC,North Carolina,Union County,Union,"Union, NC",Centralina Workforce Development Board,Completer Apprentices,60,23.1495,26
FY 2025,NC,North Carolina,Vance County,Vance,"Vance, NC",Kerr-Tar Workforce Development Board,Active Apprentices,22,28.85428571,31.71
FY 2025,NC,North Carolina,Vance County,Vance,"Vance, NC",Kerr-Tar Workforce Development Board,New Apprentices,8,26.74,24
FY 2025,NC,North Carolina,Vance County,Vance,"Vance, NC",Kerr-Tar Workforce Development Board,Completer Apprentices,11,35.44272727,34.97
FY 2024,NC,North Carolina,Vance County,Vance,"Vance, NC",Kerr-Tar Workforce Development Board,Active Apprentices,27,26.395,31.82
FY 2024,NC,North Carolina,Vance County,Vance,"Vance, NC",Kerr-Tar Workforce Development Board,New Apprentices,22,28.58095238,32.96
FY 2024,NC,North Carolina,Vance County,Vance,"Vance, NC",Kerr-Tar Workforce Development Board,Completer Apprentices,3,22.45333333,16.82
FY 2023,NC,North Carolina,Vance County,Vance,"Vance, NC",Kerr-Tar Workforce Development Board,Active Apprentices,9,17.86125,21
